Manufacture,Reference,Model,Case serial number,Description,City,State,Country,Stolen date,Police reference,Interpol Reference,Origin
A. Lange & Sohne,414028,1815 chronograph,234049,"White gold, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,403031,Datograph,148290,"Rose gold, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,403032,Datograph,176671,"Rose gold, silver dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,403035,Datograph,148038,"Platinum, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,403035,Datograph,167025,"Platinum, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,405035,Datograph,232159,"Platinum, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,Unknown,Datograph,229071,Perpetual tourbillion,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,11605,Lange 1,229976,"Yellow gold, silver dial timezone",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,18203,Lange 1,231993,"Rose gold, guilloche dial moonphase",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,101021,Lange 1,116018,"Yellow gold, brown yellow gold pin buckle, silver dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,101032,Lange 1,173531,"Rose gold, silver dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,101035,Lange 1,136037,"Platinum black dial, black",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,109021,Lange 1,149063,WH7526 moon phase,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,109021,Lange 1,149088,Moon phase,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,109032,Lange 1,222958,"Rose gold, silver dial moon phase",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,109032,Lange 1,225892,"Rose gold, silver dial moon phase",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,109047,Lange 1,178783,"08/25, white gold, white gold guilloche dial moon phase ""Tokyo""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,111021,Lange 1,143277,Kleine ,Unknown,Unknown,Unknown,11/19/2022,Unknown,Unknown,AH
A. Lange & Sohne,112021,Lange 1,117439,"39/100, yellow gold, yellow gold guilloche dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,116032,Lange 1,164160,"Time zone Rose gold, silver dial, brown strap deployment buckle",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,191025,Lange 1,222496,"Platinum, rhodium dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,191028,Lange 1,225676,"White gold, blue dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,191032,Lange 1,232285,"Rose gold, silver dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,191039,Lange 1,231569,"White gold, silver dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,320032,Lange 1,222217,"Rose gold, silver dial daymatic",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
A. Lange & Sohne,Unknown,Lange 1,149947,Dubail Edition mother of pearl dial white gold 22/25,Unknown,Unknown,Unknown,11/14/2022,Unknown,Unknown,AH
A. Lange & Sohne,308027,Langematik,118303,Unknown,Unknown,Unknown,Unknown,11/19/2022,Unknown,Unknown,AH
A. Lange & Sohne,302025,Langematik anniversary,132028,"28/500, platinum, white enamel dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
